date,id,url,content,user,user_displayname,reply_count,retweet_count,like_count,stance_label,stance_against,stance_favor,stance_neutral
2025-11-02T12:52:35.000Z,1984966871750410536,https://x.com/TsukasaTono/status/1984966871750410536,"二度と見たくもない松本人志の顔を見てしまって無理of無理。U-NEXT解約した
性犯罪にほとぼりが冷めるとかないから",TsukasaTono,TsukasaT,273.0,0.0,0.0,NEUTRAL,0.27715296,0.23022577,0.4926213
2025-11-01T15:56:10.000Z,1984650683275247908,https://x.com/Iwako_Ganseki/status/1984650683275247908,"私はもう松本人志では笑えないというか笑いたくないから見ないけど、世の中には好きな人の悪事に寛容な人ってのがいるのよね。だから未だ自民党みたいなのが政権握っているわけで。
でもさ、経験上、人の悪事に寛容な人って、自分にも甘いからね。
だからどんどん世の中が悪くなっていくわけだわよ。",Iwako_Ganseki,岩石岩子,885.0,0.0,0.0,NEUTRAL,0.24594653,0.2265662,0.5274873
2025-11-02T01:25:29.000Z,1984793958271287431,https://x.com/amakasu7/status/1984793958271287431,"わたしはU-NEXT使ってるけど、松本人志の番組宣伝を大々的にSNSで流すのは倫理観に欠けていて最悪だと思う。被害者のトリガーになるので絶対やめるべき。
あとアプリのトップから誘導してるけど、非表示設定が選べるようにして欲しいですね。早急に。",amakasu7,甘糟amakasu,2.0,11.0,105.0,NEUTRAL,0.28672495,0.28488025,0.42839476
2025-10-31T14:48:25.000Z,1984271245177991186,https://x.com/puunosuke11/status/1984271245177991186,性加害で嫌な思いをした女性がいるにも関わらず松本人志のコスプレが面白いと思うような倫理観なら、他の番組も全部辞めてくれると助かる。観たくないので,puunosuke11,ぷぅのすけ,670.0,0.0,0.0,NEUTRAL,0.24365625,0.25719044,0.49915326
2025-11-05T13:12:52.000Z,1986059137177063878,https://x.com/dogmapua666/status/1986059137177063878,君が「最強」言うてる松本人志も「女は一途な男を好きにならない」言うとるんだがw知能が低すぎて呆れるな,dogmapua666,恋愛のドグママッチングアプリ恋活婚活で幸福を掴ませる,2.0,3.0,34.0,AGAINST,0.39279917,0.21802087,0.38917997
2025-11-04T09:01:00.000Z,1985633365655957991,https://x.com/koremys_iwasa/status/1985633365655957991,"「ダウンタウンプラスは見ない」松本人志のどこが面白いのかやっぱり分からない堀江
→
youtu.be/Ky46elUDpXk

・アルピニスト野口は浅い
・ダウンタウン松本は面白くない
・高市首相はぶっちゃけ〇〇
・日本国民は何もわかっていない

今回も堀江さんが言いたい放題ですwww",koremys_iwasa,岩佐くん,53.0,21.0,139.0,NEUTRAL,0.22290735,0.22028317,0.5568095
2025-11-07T03:27:30.000Z,1986636603029381548,https://x.com/hide_Q_/status/1986636603029381548,"松本人志さん。あなたのおっしゃる通りです。
干された理由は本当の事言っちゃったからなのか！？どんだけオールドメディアは闇深いんや！？",hide_Q_,ひで2022真実を追求,43.0,949.0,0.0,NEUTRAL,0.28404,0.2802514,0.43570864
2025-11-10T22:41:03.000Z,1988014064841507009,https://x.com/sidafilicop/status/1988014064841507009,バックラッシャーの松本人志好きな新キャラクセが強すぎる,sidafilicop,BIG LOVE,0.0,6.0,22.0,AGAINST,0.3962402,0.25165313,0.35210663
2025-11-03T01:15:50.000Z,1985153916917653935,https://x.com/e5j9lhorcniT4GX/status/1985153916917653935,"松本人志さんはこうだけどジャニーズは別っていう界隈の人にブロックされました
#被害受けてるな被害届だせよ",e5j9lhorcniT4GX,すずっこ,5.0,23.0,130.0,AGAINST,0.39038956,0.23931682,0.37029368
2025-11-01T15:39:05.000Z,1984646383706783814,https://x.com/ZanEngineer/status/1984646383706783814,松本人志、口が大きく「へ」の字になってしまっている。これは、笑顔が少ない人に見られる傾向で、頬の筋肉が落ちてしまうために、口がへの字になってしまう。お笑い番組に出なくなり、人とも会いづらくなり、笑う機会が減ってしまっていたんだろうな。,ZanEngineer,お侍さん,121.0,178.0,0.0,NEUTRAL,0.24412788,0.24362099,0.51225114
