timestamp,tweet_id,url,content,user_id,user_name,reply_count,retweet_count,like_count,bert_label,bert_positive,bert_neutral,bert_negative
2024-08-01 04:33:24+09:00,1818731710072139973,https://x.com/fuwafuwanokuma/status/1818731710072139973,よあけまえの　たいむらいんを　かけぬける　くまさん　ふわふわなの にほんは　もう　8月に　とつにゅうなの　みんな　がんばって　いきのびてほしいの　ふわふわ,fuwafuwanokuma,ふわふわのくま,12.0,39.0,538.0,POSITIVE,0.7820281386375427,0.20721782743930817,0.010754082351922989
2024-08-01 06:00:06+09:00,1818753526094508150,https://x.com/huwawatrip/status/1818753526094508150,8月 1日（木曜日）❀.*･^^*  今月もよろしくお願いします  皆さまも 暑さに                         負けずに𓂃 ◌𓈒𓋪           イラストになりました⸝⸝⸝⸝♡,huwawatrip,ふわゎ︎´-アドベント,46.0,47.0,316.0,POSITIVE,0.9369006156921387,0.059699080884456635,0.0034003069158643484
2024-08-01 07:00:00+09:00,1818768603451474391,https://x.com/mofumi_vr/status/1818768603451474391,おはふみ～～！ﾌﾐﾌﾐ( ˙꒳˙ =͟͟͞͞ ( ˙꒳˙ )=͟͟͞͞  ˙꒳˙ )ﾌﾐﾌﾐ  木曜日～  ８月の初めての一日、元気よくやっていきたいね～ฅ( ˙꒳˙ ฅ)  皆さんも８月の初日一緒に頑張っていきましょう～,mofumi_vr,もふみ ฅ•ω•ฅ,36.0,15.0,236.0,POSITIVE,0.9735044240951538,0.023128364235162735,0.003367204451933503
2024-08-01 10:05:44+09:00,1818815345479782878,https://x.com/sea_kao/status/1818815345479782878,授乳で寝たお子さまを起こさないようにフワ〜っと浮かせてお布団に着地させてくれるひみつ道具、ほしいです,sea_kao,KaO,0.0,0.0,3.0,POSITIVE,0.9156493544578552,0.07895638048648834,0.005394255742430687
2024-08-01 10:09:45+09:00,1818816353840906332,https://x.com/RpFys/status/1818816353840906332,旦那がこれ過ぎて会話やめるよね。 予定とか変更あってもなくても当日ギリギリにならないと言ってくれないこと多いから、予定確認で｢明日実家に行くで大丈夫？｣とかをフワって聞くと｢行くけど何で？？行きたくないの？？｣って圧強めで返される。 移動手段聞いただけで｢嫌ならいかない。｣とかも,RpFys,まぽ,0.0,1.0,10.0,NEGATIVE,0.004326966591179371,0.09952481836080551,0.8961482644081116
2024-08-01 12:24:08+09:00,1818850173600338154,https://x.com/honndamaria/status/1818850173600338154,ﾌﾜ,honndamaria,本田(マ),0.0,0.0,0.0,NEGATIVE,0.021007047966122627,0.2990074157714844,0.6799855828285217
2024-08-01 12:36:47+09:00,1818853354619257108,https://x.com/iwashi_ENFP_T/status/1818853354619257108,今週のフワちゃんANN フワちゃん、小森のENFPっぽい×2 ニコるんISFPの激ゆる回でおもろい  フワちゃんのオールナイトニッポン0(ZERO) ニッポン放送 2024/7/29(月) 27:00-28:30  radiko.jp/share/?t=20240 … ,,,,,,POSITIVE,0.9644941687583923,0.031530559062957764,0.003975292202085257
2024-08-01 12:43:09+09:00,1818854956851740816,https://x.com/KakeruNakaaki/status/1818854956851740816,,,,,,,NEUTRAL,0.017027560621500015,0.9456810355186462,0.03729134052991867
2024-08-01 12:59:50+09:00,1818859157208072545,https://x.com/CtnvHPb5Z0or3if/status/1818859157208072545,るんちゃんさらフワだわぁ～ キレイなおちりにもなっちゃって こうして見るとしっかり大人になってきたね いつまでもパピちゃん目線で見てちゃダメだわね  蓮の花キレイだねもうそんな時期か〜,CtnvHPb5Z0or3if,イヌって言わないで！(ももチワワ女子)の飼い主(ハレルカ),1.0,0.0,1.0,NEGATIVE,0.3234197795391083,0.2871703803539276,0.3894098699092865
2024-08-01 13:29:12+09:00,1818866547676660162,https://x.com/kill_guard/status/1818866547676660162,めちゃくちゃ笑った  マフィアに凸するフワちゃん  youtube.com/shorts/nyTeirk …  @YouTube より,kill_guard,ATPのA@卓予定愚人,0.0,0.0,0.0,POSITIVE,0.7249653935432434,0.264599084854126,0.010435554198920727
2024-08-01 15:01:38+09:00,1818889810519769484,https://x.com/404rrroe/status/1818889810519769484,誰か……なんか動作する度に『フワ〜ォ』のBGM鳴るかいマホ狼の話して……ぼさんでもいいよ……,404rrroe,嬢,0.0,0.0,1.0,NEUTRAL,0.19638429582118988,0.7396769523620605,0.06393880397081375
2024-08-01 15:03:26+09:00,1818890261214462102,https://x.com/suooou/status/1818890261214462102,ぼさんがちょっとセクシーな動きをするたびに背後で『フワ～ォ』のSE鳴らすぼよん,suooou,すおー,0.0,1.0,4.0,NEUTRAL,0.3672002851963043,0.5817379951477051,0.051061756908893585
2024-08-01 15:04:55+09:00,1818890636470501872,https://x.com/404rrroe/status/1818890636470501872,そのうち連打されそう   1歩歩く度に「フワ〜ォフワ〜ォフワ〜フヮフワ〜ォ」くらい連打されてて欲しい,404rrroe,嬢,0.0,0.0,1.0,NEUTRAL,0.06134092062711716,0.6375173330307007,0.30114173889160156
2024-08-01 15:08:42+09:00,1818891587826729259,https://x.com/404rrroe/status/1818891587826729259,フワ〜ォフワ〜ォフワ〜ォフワ〜ォフワフワフワフワフヮフヮフヮフヮフフフフフフフフ  フワ〜ォ(解除爆沸),404rrroe,嬢,0.0,0.0,1.0,NEUTRAL,0.31828588247299194,0.34651121497154236,0.3352029323577881
2024-08-01 15:30:40+09:00,1818897113876779070,https://x.com/7veni/status/1818897113876779070,不惑のフワ…の部分,7veni,veni,0.0,0.0,2.0,NEUTRAL,0.10091331601142883,0.8344716429710388,0.06461504101753235
2024-08-01 15:38:36+09:00,1818899114123497508,https://x.com/nekorusu/status/1818899114123497508,ちょっとだけじゃらしの茶フワの男,nekorusu,ねこのお留守番,0.0,0.0,1.0,POSITIVE,0.6139561533927917,0.35965418815612793,0.026389718055725098
2024-08-01 15:40:05+09:00,1818899484140879996,https://x.com/nekorusu/status/1818899484140879996,茶フワの男…可愛いお顔,nekorusu,ねこのお留守番,0.0,0.0,1.0,POSITIVE,0.8573989868164062,0.13609807193279266,0.006503045093268156
2024-08-01 16:43:34+09:00,1818915460160930045,https://x.com/RakuyouShiyu/status/1818915460160930045,ゼパルちゃんフラウロスさんチーム、本当に最初からセット召喚だったんだ…！ゼパルちゃんはいつもかわいい…ウロスさん安定してグレーゾーンな倫理観で最高 ウロスさんみたいにフワっと参戦して在籍する(??)メギドくん達が居るのも、それを咎めるわけじゃない軍団の空気感もいいなあ…,RakuyouShiyu,しゆ蔵(しゆくら),1.0,0.0,2.0,POSITIVE,0.9491413235664368,0.04693116247653961,0.003927558194845915
2024-08-01 19:03:06+09:00,1818950575096295632,https://x.com/Ju32ne/status/1818950575096295632,フワちゃんみたいていわれた、あたま,Ju32ne,はむ,0.0,0.0,0.0,NEUTRAL,0.355012446641922,0.5773171186447144,0.06767037510871887
2024-08-01 19:05:33+09:00,1818951191973482600,https://x.com/ijs_cp/status/1818951191973482600,でもそこのところフワっとしたままとりあえず冥黒王倒して終わるより、ちゃんと考えてるんだなって感じで好きだよ なんなら割と予想できた展開だったしそんなに違和感も無いかな,ijs_cp,玉湿,0.0,0.0,8.0,POSITIVE,0.5213962197303772,0.4541681110858917,0.024435684084892273
2024-08-01 19:15:58+09:00,1818953812234875049,https://x.com/GJoytoy/status/1818953812234875049,今日の西台二郎も美味かったー。 博さんのフワ麺もたまらないけど、今日の(たぶん)Sさんの打った麺も美味かったなぁ。 強さの中になんだか華が出てきたような。 たまに笑顔も見せてくれるし、周りもすごい見えてる。 いろいろ楽しみだなー,GJoytoy,元気 of joytoy。,0.0,9.0,135.0,POSITIVE,0.9916757345199585,0.006962975021451712,0.0013612251495942473
2024-08-01 20:05:54+09:00,1818966379766424028,https://x.com/murimuri_toutoi/status/1818966379766424028,何しに行ったのかは我はフワっとしか分からんけどw大人の夏休みって感じで良かった パッと見のギャル度トップはごんちゃんﾁｬﾝだけど中身は1番大人かもwwwテミドがめっちゃギャルwwwそうぉんさんはなんか…赤ちゃんwww,murimuri_toutoi,ピ,0.0,1.0,4.0,POSITIVE,0.8345552682876587,0.1564607173204422,0.008984052576124668
2024-08-01 20:14:03+09:00,1818968431343096179,https://x.com/nigeyakumitu307/status/1818968431343096179,アナクリスティーナ、フワちゃんにちょっと似てるかも。,nigeyakumitu307,逃げるは恥だがやくみつる(たまに、にげやく),0.0,0.0,1.0,NEUTRAL,0.06459161639213562,0.9155991673469543,0.019809294492006302
2024-08-01 20:24:19+09:00,1818971016670163223,https://x.com/0AMmZK7rTviMaqs/status/1818971016670163223,義理を欠いたお行儀の悪い子は多い( ;´･ω･`)  9.8割りはお行儀悪い子な気がする(´･ω･)  んだよ、そりゃあっ　  あぁん(･ω･)ｸﾜｯ!!  的なの多い(´･ω･)  フワちゃん、なるべくそんな人からは逃げてる(´･ω･)ｽﾀｺﾗｻｯｻｯ…,0AMmZK7rTviMaqs,フワちゃんＦ𝕏(´･ω･),1.0,0.0,1.0,NEGATIVE,0.006548251956701279,0.031260088086128235,0.962191641330719
2024-08-01 20:54:22+09:00,1818978576420716781,https://x.com/buntesleben0128/status/1818978576420716781,次の目的地へ これを絶対食べたかった！ 動画が下手でぷるぷる加減が伝わらないけど、新食感のフワ甘ウマな物体だった(笑)お茶も美味しかった〜 ここでも鶴の子等買って御菓印貰いました ,,,,,,POSITIVE,0.9881168603897095,0.01060598623007536,0.0012772000627592206
2024-08-01 20:55:16+09:00,1818978805467549744,https://x.com/0AMmZK7rTviMaqs/status/1818978805467549744,仲間(　・`ω・´)  フワちゃん、さらに腕時計もビス打ち機も壊れたぜぇ～(　・`ω・´)  物が連続的に壊れるのは  その人の波動の変化(´･ω･)  何かの転機、始まり(´･ω･)  例えるなら『ドラゴンボール』から  『ドラゴンボールZ』になる知らせ(´･ω･)  日々良い子にしてる子には,0AMmZK7rTviMaqs,フワちゃんＦ𝕏(´･ω･),1.0,0.0,2.0,POSITIVE,0.5639584064483643,0.33105170726776123,0.1049899309873581
